,,Appearance,Behaviour,Where and when,Description
97560,24,"1,5 cm. Lichtgeel tot donkergrijs, met vlekken. ",Rolt zich bij gevaar op tot een balletje.,Op droge plaatsen zoals muren en stenen waar de zon op schijnt. Het hele jaar door te zien.,"<p><span class=""label"">Koprol </span>Het lichaam van de gewone oprolpissebed bestaat uit harde plaatjes die over elkaar kunnen schuiven. Net als bij een middeleeuws harnas beschermen de plaatjes de zachte delen van het lichaam. Bij de pissebed zitten de zachte delen aan de onderkant. Wordt de gewone oprolpissebed aangevallen, dan rolt hij zich op tot een balletje. De zachte delen van het lichaam en de kop worden zo veilig omhuld door het harde pantser. Rovers hebben ineens geen interesse meer en laten het hapje met rust.</p>"
97561,24,Tot 2 cm. Zijkanten van het lichaam lichter grijs dan de bovenkant. Vaak rijen gele stipjes op de rug.,Zoekt in de winterkou naar een warmer plekje.,"In tuinen, wegbermen, slootkanten en bossen. Het hele jaar door te zien, ‘s winters in de kelder.","<p><span class=""label"">In de kelder </span>Soms komen kelderpissebedden 's winters naar binnen. Vooral als het buiten te koud voor ze wordt. Ze vluchten naar binnen omdat ze niet willen bevriezen. Waar gaat zo'n pissebed heen? Niet naar de woonkamer. Daar is het te warm en ook te droog.  En er is teveel licht. Er is maar één favoriet plekje in huis: de kelder. Daar is het warmer dan buiten, maar ook een beetje vochtig en donker. Precies wat pissebedden nodig hebben. De kelder is het perfecte winterverblijf voor een kelderpissebed.</p>"
97562,24,"0,5 tot 1,5 cm. Breed en plat. Donkere kop en donkere streep met gele stippen over de rug.  ","Zit graag op warme, droge plekken.","Gebouwen, begraafplaatsen, tegen muren, onder dakpannen. Overdag te zien, ’s winters ook in huis.","<p><span class=""label"">Lekker in de warmte </span>Zwartkoppissebedden zijn anders dan andere pissebedden. Ze houden namelijk van een droge en warme plek. ’s Winters kruipen ze zelfs in huis. Buiten is het dan te koud en te nat voor ze. Het zijn echte huisdieren. Ze zitten het liefst op plekken die door mensen gemaakt zijn. Niet alleen in tuinen en parken voelen ze zich op hun gemak, maar ook in oude gebouwen, tussen muurspleten, onder stenen of dakpannen.</p>"
97563,24,"Dwergpissebedje van 3 tot 4 mm. Donkerbruin of rozebruin, met stippeltjes.",Houdt niet van droogte. ,"In de bodem en onder hout, takken of stenen. Groot deel van het jaar te zien.","<p><span class=""label"">Half blind </span>Het paars drieoogje heeft in elk oog drie puntjes. Andere pissebedden hebben er meestal meer. Omdat hij in de bodem leeft, hoeft hij niet zo veel te zien. Verschil waarnemen tussen licht en donker is genoeg. Dankzij lichtgevoelige cellen in de ogen weet de pissebed of hij in het licht zit, in de schaduw, of in de totale duisternis onder een steen. Het is van levensbelang om te weten waar je bent. Want bij teveel licht droogt het lichaam uit. Dan vlucht het paars drieoogje snel naar een donkerder plek. Meestal is het daar ook lekker vochtig.</p>"
97564,24,"0,4 tot 1,2 cm. Glanzend lichaam, donkere kop en rugstreep. Veel gele en soms rode vlekjes op de rug.",Klimt bij heel vochtig weer tegen boomstammen omhoog.,"Natuurgebieden, parken en tuinen. Groot deel van het jaar te zien.","<p><span class=""label"">Levend mos </span>De mospissebed voelt zich op veel plekken thuis. Hij is te vinden in heidevelden, graslanden, slootkanten, wegbermen, duinen en bossen. In de stad is hij echter zeldzamer dan andere pissebedsoorten. Het liefst zit de mospissebed ergens onder. Dorre bladeren, omgevallen bomen, stenen, graspollen en de bodem zijn favoriete schuilplaatsen. Hij is goed gecamoufleerd. Met zijn kleur gaat hij helemaal op in de omgeving. Op zijn rug heeft de mospissebed een ingewikkeld patroon van vlekken waardoor hij net een levend stukje mos lijkt.</p>"
97565,24,"0,5 tot 1,5 cm. Lichaam opgebouwd uit plaatjes. Grijs gekleurd en ruw.",Komt niet graag in de zon omdat hij snel uitdroogt.,"Onder stoeptegels, bloempotten, bladeren, vochtige kelders. Bijna het hele jaar te zien.","<p><span class=""label"">Groepsknuffel </span>Ruwe pissebedden zijn echte gezelligheidsdieren. Ze zitten altijd bij elkaar onder een steen of bloempot, waar het aangenaam donker en vochtig is. Meestal zijn ze grijs, maar je komt ook wel andere kleuren tegen. Sommige vrouwtjes bijvoorbeeld zijn rood gekleurd. Soms zie je ook knalblauwe pissebedden. Een blauwe kleur betekent slecht nieuws. Zulke pissebedden hebben een kwaadaardig virus opgelopen. Een knalblauwe pissebed gaat snel dood. Hij heeft nog maar enkele dagen te leven.</p>"
97566,24,"3 mm tot 2,5 cm. Achterlijf met geel-zwarte strepen zoals bij een wesp.",Hangt op de kop in web met zigzagkruis.,"Vooral in natuurgebieden, soms ook in parken en tuinen. Van mei tot september.","<p><span class=""label"">Gevaarlijk uiterlijk </span>De naam zegt het al: de wespspin lijkt op het geel-zwarte insect dat zo gemeen kan steken. Het is handig om er net zo uit te zien als een wesp. Vogels laten je met rust. Alleen de vrouwtjes hebben deze kleuren; mannetjes zijn saaier gekleurd en veel kleiner. Voor vrouwtjes is het belangrijker om er gevaarlijk uit te zien. Zij moeten voor de kinderen zorgen en dus ook na de paring nog een tijd blijven leven. Mannetjes offeren zich op voor het nageslacht. Al tijdens de paring worden ze door het vrouwtje ingesponnen en later opgegeten. Hun vlees komt dan ten goede aan de spinnen en gaat niet verloren in de maag van een of andere vogel.</p>"
97567,24,"6,5 mm tot 1,8 cm. Wit kruis op het achterlijf, geelbruin tot donkerbruin.",Verlamt zijn prooi en zuigt hem leeg.,"Tuinen en parken, natuurgebieden. Van juli tot oktober.","<p><span class=""label"">Op het kruispunt </span>Kruisspinnen zijn groot en hebben dus veel voedsel nodig. Daarom maken ze een groot web. Dan heb je meer kans dat er iets in vliegt. Een kruisspin wacht middenin het web tot er iets beweegt. Op het kruispunt van de draden kan hij alle hoeken van het web even snel bereiken. Na de vangst van een prooi, zoals een grote hommel, repareert de kruisspin de kapotte draden. De dieren in het web zijn altijd vrouwtjes, de mannetjes zitten rondom het web. Als zo’n mannetje wil paren, benadert hij het vrouwtje langzaam, terwijl hij met zijn poten aan de webdraden tokkelt om haar te waarschuwen dat hij eraan komt en geen prooidier is.</p>"
97568,24,"2 tot 3 mm. Het kleine lichaam is nauwelijks behaard en glimmend, vaak zwart of bruin.",Zweeft als een ballon door de lucht.,"Bij de grond, maar vaak ook zwevend in de lucht. Het hele jaar door te zien.","<p><span class=""label"">Ballonvaarder </span>Een dwergspin kan vliegen zonder vleugels. Hij spint een lange draad uit zijn achterlijf. Staat er wind, dan wordt het spinnetje met draad en al opgetild en zweeft als een ballonnetje de lucht in. Hij kan kilometers stijgen! Zo kan de dwergspin in korte tijd grote afstanden afleggen en nieuwe plekken bereiken. Lopend over de grond zou dat niet lukken, want met zijn kleine pootjes komt hij niet snel genoeg vooruit. En het is veel gevaarlijker, wie weet wat je allemaal tegenkomt. Dan is zweven door de lucht veel veiliger en ook best ontspannend. De dwergspin heeft zijn bestemming bereikt als de draad in een struik blijft haken. Dan klimt hij naar beneden en verkent zijn nieuwe leefgebied.</p>"
97569,24,"Tot 8 mm. Bruin, met lichte middenstreep boven en achter de kop. Voorop het kopborststuk staan vier grote ogen die een vierkant vormen. Daaronder staan vier kleine ogen op een rij.",Zoekt zijn prooi lopend.,"Tuinen, parken en natuurgebieden. Van maart tot september.","<p><span class=""label"">Alleen op jacht </span>Wolfspinnen hangen niet in een web, maar lopen altijd op de grond en het liefst in de zon. Als je bij een plek komt waar deze spinnen leven, rennen er vaak hele groepjes voor je weg. Het lijkt alsof ze in groepen op prooien jagen, vandaar de verwijzing naar wolven. Wolfsspinnen jagen echter liever alleen en grijpen allerlei kleine insecten. Hierbij vertrouwen ze vooral op hun gezichtsvermogen, dat beter is dan bij andere spinnen. Wolfspinnen zijn goede moeders. In het voorjaar en in de zomer dragen ze hun eitjes mee in een gesponnen cocon. De uitgekomen wolfspinnetjes liften nog een tijdje mee op de rug van hun moeder.</p>"
97570,24,"9 mm tot 1,4 cm. Plat lichaam, donkere poten en kopborststuk. Achterlijf in het midden donker, daaromheen een golvende rand met witte stippen, daarbuiten rood.",Spint zijn web 's nachts.,"Natuurgebieden, parken en tuinen. Van juli tot oktober.","<p><span class=""label"">Nachtbraker </span>Het platte lijf van de platte wielwebspin komt goed van pas om overdag te schuilen achter schors of tussen spleten in de muur. Wielwebspinnen zijn nachtbrakers. Ze trekken ’s nachts naar buiten en spinnen een web dat er uitziet als een fietswiel, compleet met spaken. Natuurlijk komt de naam wielwebspin daar vandaan. Als je deze spin wilt zien moet je dus 's nachts met je zaklantaarn naar buiten. Bij vrijwel elk raamkozijn ontdek je er wel een. 's Ochtends zijn ze plotseling weg en ook hun webben zie je niet meer. Aan het eind van de nacht eet de platte wielwebspin namelijk zijn eigen web op. Hij verdwijnt zonder een spoor achter te laten. </p>"
97571,24,"8 mm tot 1,4 cm. Het ballonvormig achterlijf steekt boven het borstkopstuk uit en heeft een ingewikkeld patroon. ",Jaagt ’s nachts bij het licht van een lamp.,"Bij muren en gebouwen, vaak onder bruggen. Van juli tot september.","<p><span class=""label"">Mensenspin </span>De brugspin is een echte mensenspin. Wij zijn geen bedreiging voor deze spin maar helpen hem juist. Een brugspin moet niet veel hebben van planten. Veel liever spint hij zijn web aan bouwsels die wij gemaakt hebben, zoals daken, muren, hekken, tunneltjes en vooral…bruggen. De brugspin houdt namelijk ook erg van water. Daar vliegen immers veel insecten rond, vooral 's nachts als de brugspin jaagt. En wat is er dan handiger om een beetje licht te hebben van de lantaarns die de brug verlichten?</p>"
97572,24,"Tot 1,2 cm. Lang en smal, zilverachtig achterlijf. Mannetje heeft lange grijppoten.","Houdt zich bij gevaar gestrekt, alsof hij dood is.",In de buurt van water.  Van juni tot oktober.,"<p><span class=""label"">Net dood </span>Strekspinnen hebben een typische houding. Zelfs als ze rustig in hun web zitten strekken ze hun voorpoten zo ver mogelijk naar voren en hun achterpoten zo ver mogelijk naar achteren. Ze doen net of ze dood zijn, of zouden ze een takje nadoen? Waarschijnlijk vallen ze zo minder op voor vijanden. Het rekken en strekken komt ook van pas als de spin bedreigd wordt. Dan gaat hij achter een plantenstengel zitten. Door zich lang en dun te maken kan hij zich er helemaal achter verschuilen.</p>"
97573,24,"1 cm. Poten tot 5 cm lang, dun en met donkere knieën. Heel klein kopborststuk, langgerekt achterlijf, grijsbruin lichaam.",Schrikt vijanden af door heftig te trillen.,"Kruipt in de herfst in gebouwen en huizen, vooral in de kelder. Het hele jaar door te zien.","<p><span class=""label"">Bevend van angst </span>Trilspinnen kun je gemakkelijk verwarren met hooiwagens. Die hebben ook acht van die steltpoten. Een trilspin heeft een lijf dat is opgebouwd uit twee 'bolletjes'. Een hooiwagen heeft één bolletje. Een trilspin is ook goed te herkennen omdat hij in een web hangt, hooiwagens maken geen webben. Als je met je vinger tegen het web of tegen het lijf duwt, gaat de spin heftig trillen. Hij houdt daar pas mee op als hij zich niet meer bedreigd voelt. Trillen is zijn manier om belagers af te schrikken. De trilspin heeft stevige kaken, en gif waarmee hij grote prooien zoals pissebedden kan verdoven. Het werkt niet bij mensen omdat de kaken niet door onze huid heen kunnen komen.</p>"
97574,24,"Tot 7 mm, stevig en dicht behaard lichaam, zwart-wit gestreept als een zebra, ogen als koplampen.",Loopt in de zon op muren en boomstammen op zoek naar prooidieren.,Op muren en boomstammen. Van februari tot oktober.,"<p><span class=""label"">Zebra en leeuw tegelijk</span> De zebraspringspin lijkt op een zebra maar gedraagt zich als een leeuw. Hij besluipt zijn prooi tot hij voldoende dichtbij is om de aanval te openen. Met zijn enorm sterke poten springt hij op zijn slachtoffer en bijt. Om te springen moet de spin goed diepte kunnen schatten. Voor op de kop staan daarom twee grote ogen. Ze staan recht vooruit waardoor de spin diepte kan zien. Een sprong gaat weleens mis. Daarom spint de zebraspringspin eerst een zijden draad, die hij vastmaakt aan het oppervlak waarop hij loopt. Springt hij mis, dan blijft hij aan dat draadje hangen en valt hij niet.</p>"
97575,24,"6 mm tot 1 cm. Krachtig, lang en stevig behaard lichaam, lichtbruin. Twee voorste poten dikker dan de andere, twee ogen steken als koplampen naar voren.",Het mannetje zwaait met zijn poten naar het vrouwtje.,"Bossen, parken, tuinen, in huis. Van maart tot augustus.","<p><span class=""label""> Sjansen met poten </span>De schorsmarpissa is een atletische spin. Hij is sterk, beweeglijk en snel en kan goed springen. Buiten leeft de schorsmarpissa op boomstammen, palen en muren. IJverig speurt hij ze af naar prooien. Zodra hij iets lekkers ziet, duikt hij erop. Zelfs insecten die groter zijn dan hijzelf kan hij de baas. Het eerste pootpaar is dikker en sterker dan de andere poten. De schorsmarpissa gebruikt ze niet alleen om prooien in bedwang te houden, maar ook om een vrouwtje te verleiden. Tijdens de balts richt hij zijn poten omhoog om er stoerder uit te zien en zo indruk te maken.</p>"
97576,24,"3 tot 6 mm. Komt in verschillende kleurvarianten voor: wit, geel, groen en rood. Op het achterlijf zitten altijd zwarte stippen, soms ook een of twee rode strepen.",Wacht onder bladeren op prooien.,"Op planten in tuinen, parken en natuurgebieden.  Van juni tot augustus.","<p><span class=""label"">Mooi maar roofzuchtig </span>Hij ziet er mooi en onschuldig uit, maar de gewone tandkaak is een geduchte rover. Gewone tandkaken vangen met gemak vliegen, vlinders, bijen of hommels. Vaak zitten ze in hinderlaag onder een blad om hun prooi te verrassen. Een ingewikkeld web maken ze niet. Hoogstens spannen ze wat slordige draden, maar dat is genoeg om tegenaan te vliegen. Meteen schiet de tandkaak op een gestrikt insect af en begint er draden omheen te wikkelen. Al snel kan het slachtoffer zich niet meer verroeren. Dan begint de spin aan zijn maal. Gewone tandkaken vangen heel wat insecten weg uit de tuin. Niet alleen omdat het goede jagers zijn, maar ook omdat ze in grote aantallen voorkomen.</p>"
97577,24,"7 mm tot 1,2 cm. Bruin, op achterlijf lichtbruine strepen in de vorm van een vissengraat.",Sluipt langs muren in en rond het huis.,In de tuin en in huis. Het hele jaar te zien.,"<p><span class=""label"">Lekker, moeder! </span>Muurkaardespinnen zijn goede moeders. Ze maken met hun spinsel een comfortabel nest in gaatjes in de muur of in andere kleine holtes. Het web bestaat niet uit losse draden, maar uit een wirwar van vele kleine draadjes. Hieraan dankt de spin ook zijn naam. Kaarden is namelijk het ontwarren van schapenwol na het schapen scheren. Als de eieren gelegd zijn, blijft moeder erbij en bewaakt ze. Zodra de eieren uitkomen, begint ze opnieuw met eitjes leggen. Niet omdat ze nog meer jongen wil, maar om eten te hebben voor de pasgeborenen. Moeder voert de versgelegde eitjes aan de kleine spinnetjes. Na deze maaltijd gebeurt er iets heel geks: de jongen eten hun eigen moeder op!</p>"
97578,24,"Lijf 9 mm tot 1,4 cm, met gespreide poten tot 10 cm. Bruin met donkerbruine vlekken, behaarde poten. ",Houdt zich zeer stil als hij ontdekt wordt.,"In tuin, schuur en huis. Het hele jaar te zien.","<p><span class=""label"">Huisvriend </span> Het kan even schrikken zijn als je deze spin tegen het lijf loopt in huis. Huisspinnen zijn de grootste spinnen van ons land en erg indrukwekkend. Mannetjes halen met gespreide poten wel 10 cm! Je zult aan ze moeten wennen, want huisspinnen leven in elk huis, hoe goed dat ook schoongehouden wordt. Er is altijd wel een stil hoekje waar ze hun web weten te maken. Je hebt ook voordeel van ze. 's Zomers vangen ze heel wat andere diertjes die anders zomaar door je huis lopen.</p>"
97579,24,Tot 11 mm. Kopborststuk geelbruin met een donkere band in het midden. Het achterlijf heeft een ingewikkelde tekening die op een blaadje lijkt.,Maakt zijn web niet helemaal af maar laat er een hap uit.,In tuin en huis. Van juli tot oktober.,"<p><span class=""label"">Prikkeldraad </span>Het verticale web van de venstersectorspin hangt vaak voor de ramen van huizen. Makkelijk te herkennen, want in één bovenhoek van het wielweb ontbreekt een taartpunt. Anders dan de jonge spinnen, die overdag ook wel in hun web zitten, hangen volwassen exemplaren er alleen ’s nachts in. Overdag zitten ze verscholen onder een dakgoot of in een spleet in de muur, in een gesponnen woonruimte. Vanuit het middelpunt van het web loopt een draad over het ontbrekende taartpuntje naar de woonruimte. Doordat de draad trilt als er een insect in het web spartelt, wordt de spin geprikkeld en komt in actie. Zo zit hij veilig en voelt toch wanneer zijn volgende maaltijd eraan komt. Dat is een slim web!</p>"
97580,24,"4 tot 7mm. Groot bruinglimmend achterlijf, als een koffieboon.","Leeft verborgen in hoekjes, vaak heel dicht bij huizen.",In huis en tuin. Het hele jaar door te zien.,"<p><span class=""label"">Valstrik </span>De koffieboonspin is familie van de kogelspinnen, waarvan de soorten allemaal een kogelrond achterlichaam hebben. Een beruchte kogelspin is de voor de mens de giftige zwarte weduwe, die in warmere streken leeft. Sommige kogelspinnen eten na de paring hun mannetje op. Mannetjes van de koffieboonspin hoeven niet bang te zijn voor hun vrouwen: zij worden niet opgegeten door hun geliefde. Koffieboonspinnen maken geen wielvormig web, maar een webje dat bestaat uit allemaal losse draden. Ze hebben een soort kammetjes aan hun achterlijf waarmee ze de draad glad maken. Die plakt dus niet, maar prooidieren kunnen er wel makkelijk in verstrikt raken en zo ten prooi vallen aan de spin.</p>"
97581,24,8-12 mm zonder poten. Bruine spin met donkerdere lijnen op achterlijf.,Leeft in een trechtervormig web en verdwijnt in holletje bij verstoring.,in natuurgebieden en soms ook bij bebouwingen.,
97582,24,"2 tot 7 mm. Ogen felgroen, lichaam bruinzwart. Vleugels doorzichtig met vlekken, en aan de top een dunne streep in de vorm van de letter C. ",Zit vaak op bladeren van struiken.,Vooral op meidoorns. Van eind mei tot en met eind september.,"<p><span class=""label"">Bessenboor </span>Meidoornboorvliegen zitten op allerlei struiken die bessen dragen, maar meidoorn is favoriet. Het vrouwtje legt haar eitjes in meidoornbessen met behulp van een speciale boor aan de punt van haar achterlijf. Ze boort een gaatje in de bes en via de legboor brengt ze er een eitje in. Handig, want als de larve uit het ei komt kan hij meteen eten van het vruchtvlees. Het vrouwtje zorgt er wel voor dat ze haar eitjes in nog onrijpe bessen legt. Zo voorkomt ze dat haar kinderen worden opgegeten door een hongerige vogel die wel trek in een lekker besje heeft.</p>"
97583,24,"10 tot 15 mm. Blauwglanzend, rode wangen onder de ogen, lichaam met dikke haren. ","Zit op muren, bladeren of bloemen.",Komt overal voor. Van maart tot november.,"<p><span class=""label"">Politiehulp </span>Soms helpen roodwangbromvliegen met het oplossen van een moordzaak. Als iemand   dood is gevonden, kijkt de politie of er larven of poppen van de bromvlieg in zitten. Het is bekend hoe snel de larven groeien en na hoeveel dagen ze verpoppen tot volwassen vlieg. Zitten er larven in het dode lichaam, dan is de moord pas gebeurd. Vinden ze poppen, dan is het langer geleden. Zijn de poppen open en de vliegen uitgevlogen, dan is er nóg meer tijd verstreken tussen de moord en de vondst van het dode lichaam. Door te kijken naar de grootte van de larven of de toestand van de poppen, weet een rechercheur precies op welke dag de persoon is doodgegaan.</p>"
97584,24,"10 tot 15 mm. Donker achterlijf, kleine kop met een snuit eronder, vleugels geelbruin aan het begin en verder grijsbruin.",Jaagt op andere insecten.,"In natuurgebieden, parken en tuinen. Van mei tot augustus.","<p><span class=""label"">Luchtdanser </span>Dansvliegen heten zo omdat ze in de lucht op en neer lijken te dansen. Mannetjes vertonen hun danskunsten in grote wolken om zo de aandacht van vrouwtjes te trekken. Ze lijken onschuldig maar het zijn geduchte rovers. Voor het dansen gaat het mannetje op jacht. Hij vangt een vlieg of een ander klein insect om het vrouwtje te verleiden. Terwijl het vrouwtje eet, kan het mannetje met haar paren.</p>"
97585,24,"8 tot 15 mm. Vleugels met zwarte vlekken, opvallende, groen-gouden ogen met vlekjes, strepen op het borststuk.","Vrouwtjes zuigen bloed bij zoogdieren, ook bij mensen.",Vooral in de buurt van zoogdieren of water. Van mei tot september.,"<p><span class=""label"">Vampier </span>Vrouwtjesdazen leven van bloed. Net als een vampier tappen ze dat af bij zoogdieren. Loop je met blote benen buiten, dan kunnen ze jou ook steken. Alleen de vrouwtjes doen dat. Ze hebben bloed nodig om eitjes te maken. Zoogdieren ademen kooldioxide uit, geven warmte af en ruiken naar zweet. Zo weet de goudoogdaas dat ze te maken heeft met een zoogdier waarbij ze bloed kan prikken. Mensen zijn ook zoogdieren en worden dus ook wel eens geprikt door een daas. Van mannetjesdazen heb je geen last. Die eten nectar van bloemen of ze eten helemaal niet.</p>"
97586,24,"10 tot 15 mm. Lichaam en vleugels grijs met bruingrijze vlekken, steeksnuit, ogen felgekleurd met bruinzwarte strepen.","Vrouwtjes zuigen bloed bij zoogdieren, ook bij mensen.",In de buurt van water. Van mei tot oktober.,"<p><span class=""label"">Bloeddorstig </span>Regendazen zuigen bloed. Alleen de vrouwtjes doen dat, want zij hebben bloed nodig om eitjes te kunnen maken. In bloed zitten veel stoffen die ze kunnen gebruiken. Regendazen vallen vaak paarden of koeien lastig. Maar soms komen ze ook op mensen af, vooral als die aan het zwemmen zijn. De larven van regendazen leven namelijk in het water. Vrouwtjesdazen doen alles voor een slokje bloed. Daarom blijven ze lang om een koe, paard of mens heenvliegen.</p>"
97587,24,"10 tot 15 mm. Bolrond, oranjerood achterlijf met dwarsstrepen. Vooruitstekende snuit, roodbruine ogen, donker borststuk.",Gebruikt zijn lange snuit om nectar uit diepe bloemen te drinken.,Meestal op planten met paarse bloemen. In voorjaar en zomer.,"<p><span class=""label"">Rare snuiter </span>De snuitvlieg is een zweefvlieg met een opvallend puntige snuit. Die snuit gebruikt hij niet om te prikken maar om hem in bloemen te steken. Zo komt hij bij de nectar die onderin de bloemkelk zit. De snuit die je ziet is niet de snuit waarmee hij nectar zuigt. Dat doet hij met zijn tong, die onder de snuit verstopt zit. De tong is kwetsbaar en moet goed beschermd worden. Daarom is de snuit gebouwd als een soort beschermhoes. Aan de onderkant is hij hol en daar past de tong precies in. Dankzij de lange tong kan de snuitvlieg nectar drinken uit bloemen waar de meeste vliegen met hun korte tong niet bij kunnen.</p>"
97588,24,"20 tot 30 mm. Slank, grijsbruin, smalle vleugels. Poten langer dan het lichaam.",Leeft meestal dicht bij de grond. ,In het gras. Van april tot oktober.,"<p><span class=""label"">Brekebeen </span>Langpootmuggen zien er uit als grote steekmuggen, maar ze zijn ongevaarlijk want ze steken niet. Je kunt een langpootmug beter niet oppakken, want de poten zijn zo dun dat ze gemakkelijk afbreken. Vliegen kunnen ze niet zo goed, daarom zitten langpootmuggen het liefst dicht bij de grond. Onhandig lopen ze met hun lange poten over gladde grasstengels. De larven (emelten) leven in de bodem. Van sommige soorten knagen de larven aan de wortels van het gras. Vaak zitten er zoveel bij elkaar dat het gras doodgaat en er kale plekken in het gazon of het voetbalveld ontstaan.</p>"
97589,24,"10 tot 15 mm. Metaalgroen glimmend lijf, dikke haren, roodbruine ogen.",Is verzot op allerlei viezigheid.,"Vooral bij de gft-bak, maar soms ook in huis. Van mei tot oktober.","<p><span class=""label"">IJdeltuit </span>Jakkes, wat een vieze vliegen! Dat is vaak je eerste reactie als je keizersvliegen ziet. Dat is niet voor niets, want deze vliegen zitten, net als andere vleesvliegen, vaak op smerige dingen. Poep, rottende planten of rottend vlees.  Ze leggen er hun eieren in. In dode dingen zit vaak nog veel bruikbaars waar de larven zich mee voeden. Keizersvliegen zijn dus heel nuttig, want ze ruimen dode dingen op. Zelf zijn ze ook heel schoon. Uren besteden ze aan de verzorging van hun uiterlijk.</p>"
97590,24,"2 mm. Klein vliegje met rode ogen, geelbruin lijf.",Komt in huis af op rottend fruit.,"Vaak in huis, vooral met warm weer.","<p><span class=""label"">Fruitliefhebber </span>Laat je een banaan of een appel te lang in de fruitschaal liggen, dan komen er zeker fruitvliegen op af. Ze leggen hun eitjes in het fruit en daar komen kleine larven uit. Na een paar dagen verpoppen de larven zich al en niet lang daarna kruipt er een volwassen vlieg uit. Die gaat weer op zoek naar een partner om mee te paren. Bij kamertemperatuur duurt het maar tien dagen om van eitje een volwassen vlieg te worden. Daarom zijn er zo snel zo veel fruitvliegen. </p>"
97591,24,"8 tot 15 mm. Lijkt op een vlieg, maar is een mug. Pikzwart, sterk behaard, mannetje met reusachtige ogen, vleugels doorzichtig of melkwit.",Zwermt op bomen en struiken. Blijft zitten als je hem aanraakt.,"In gras, op struiken, in bomen. Van maart tot mei.","<p><span class=""label"">Niet bang </span> Eigenlijk is de maartse vlieg geen vlieg maar een mug. Dat zie je aan de voelsprieten, die uit veel meer leedjes bestaan dan die van een vlieg. Het is ook een beetje verwarrend dat hij maartse vlieg heet. Maartse vliegen vliegen pas in april en verzamelen zich dan in grote zwermen. Soms zitten bomen of struiken helemaal bedekt onder deze grote zwarte beesten. Maartse vliegen zijn niet bang. Je kunt ze bijna aanraken en dan vliegen ze nog niet weg.</p>"
97592,24,"3 tot 5 mm. Grijsbruin, lange haren op het lichaam, vleugels en poten. Zwarte en witte vlekjes op de vleugels.  Lijkt op een motje.",Larven leven in de riolering.,"In huis, vooral in de wc als de riolering niet goed werkt.","<p><span class=""label"">Op het toilet </span>De larven van motmugjes leven van rottende planten of dierenresten. Sommige, zoals het wc-motmugje, leven het liefst in het riool. Je kunt deze dus op het toilet tegenkomen. Dat betekent niet dat deze niet goed schoongehouden wordt. Het wc-motmugje werd pas in 2008 pas voor het eerst in Nederland ontdekt. Niet dat de mugjes toen pas hier voorkwamen, maar eerder was er gewoon niet goed naar gekeken. Zo zie je maar dat je op je eigen toilet nog interessante biologische ontdekkingen kunt doen! </p>"
97593,24,"8 tot 15 mm. Oranjebruin achterlijf, bruinrode ogen, grijze lijnen op borststuk, dikke haren.",Voelt de vliegenmepper allang aankomen met de haren op zijn lichaam. Maakt zoemend geluid.,"Overal en altijd, ook in huis in de winter.","<p><span class=""label"">Mis! </span>Huisvliegen komen overal ter wereld voor en zijn nergens echt welkom. Ze maken vaak een storend gezoem. Maar vervelender is het wanneer ze op je eten landen, want wie weet waar ze daarvoor wel op hebben gestaan. Aan hun pootjes kunnen makkelijk vieze bacteriën blijven hangen die zo worden overgebracht. Veel mensen grijpen dus naar de vliegenmepper of de krant. Toch is het erg lastig ze dood te slaan. Je slaat vaak mis omdat vliegen tastharen overal op hun lichaam hebben die bewegende lucht kunnen waarnemen. Slaan brengt lucht in beweging waardoor de vlieg weet dat ‘ie weg moet wezen.</p>"
97594,24,"15 tot 20 mm. Slank lichaam, grijs borststuk met drie strepen, geeloranje achterlijf met donkerbruine vlekken, doorzichtige vleugels met vlekken.",Zit vaak ondersteboven op een boomstam.,Natuurgebieden en ook in tuinen. Van mei tot september.,"<p><span class=""label"">Omlaagkijker </span>Snavelvliegen zitten vaak ondersteboven op een boomstam. Ze kijken niet omhoog maar naar de grond. Misschien dat ze zo minder opvallen voor vogels. Ook de vlekken op de vleugels en het lijf helpen om minder snel gezien te worden. Ze zorgen voor een goede camouflage, want lijken erg op boomschors.  De monddelen van de snavelvlieg lijken wel wat op de snavel van een vogel. Vandaar de naam snavelvlieg. Met de monddelen kan de vlieg niet prikken, maar ze zijn wel erg handig om honingdauw op te likken. Dat is een zoete, suikerrijke vloeistof die bladluizen uitscheiden aan de achterkant van hun lichaam.</p>"
97595,24,"15 tot 20 mm. Grijs lichaam, rode ogen, donker borststuk met grijswitte strepen, achterlijf zwart-wit geblokt als een dambord, lichaam met dikke haren.","Zit op in de zon op muren, bladeren, soms op bloemen.","Overal, soms in huis. Van april tot oktober.","<p><span class=""label"">Mooi vies </span>Bloedrode ogen en een zwartgrijs geblokt en gestreept lichaam. Eigenlijk bijzonder mooi voor zo´n alledaagse en algemene vlieg. Toch hebben ze een slecht reputatie omdat ze veel op dode dieren zitten. Vroeger dacht men dat de larven leefden van dit dode en rottende vlees, maar nu weten we dat ze juist de andere insectenlarven eten die van dit vlees eten. Toch jammer dat zo´n mooi diertje vaak op dit soort vieze plekjes te vinden is.</p>"
